term,count_a,count_b,log_odds,z
redes sociais,1242,5179,-1.9128584237186956,-60.54339039667081
lula silva,295,1021,-1.717064113346833,-25.976978413087163
luiz inácio,287,960,-1.6828050073623624,-25.014019208530748
inácio lula,294,949,-1.647143538609229,-24.677936032154534
circula redes,24,2307,-5.044595075396733,-24.590883382366904
bolsonaro pl,117,570,-2.058025457499535,-20.277704019741744
silva pt,187,617,-1.6683631662070102,-19.986451016985086
vídeo mostra,26,614,-3.6364254730599397,-18.16501734243513
sociais vídeo,18,602,-3.984223774792273,-16.660943146185648
facebook instagram,29,425,-3.158865948273064,-16.461414204175288
facebook twitter,15,451,-3.877257897114454,-14.777665887488498
urnas eletrônicas,78,294,-1.8007464591696136,-14.139225316877408
segunda quinzena,22,308,-3.112733357796925,-14.1079599956308
circulam redes,17,317,-3.399261722782594,-13.65799677943648
vídeo circula,16,312,-3.443940026034748,-13.439568972689237
grupos whatsapp,9,495,-4.480853323512826,-13.329265686355615
candidato presidência,58,250,-1.934772370902003,-13.27610080813566
diz texto,37,230,-2.300803319530864,-12.990937729608483
fernando haddad,45,229,-2.100733961017049,-12.884324529440747
uol confere,13,303,-3.6221470999570826,-12.793103933874562
primeira semana,39,195,-2.083006340096107,-11.876282528884994
povo brasileiro,51,196,-1.8199005208124115,-11.578395136961756
rede globo,20,185,-2.6979560582006643,-11.46457350986649
mil vezes,12,223,-3.3953681426202937,-11.462203934341153
presidente bolsonaro,103,246,-1.3443489147487515,-11.455206378801174
dilma rousseff,74,215,-1.540253137353929,-11.428854017329177
vídeo compartilhado,21,182,-2.6328319350004916,-11.426530321584785
através redes,13,209,-3.250516581059383,-11.375710141314867
vídeo publicado,78,217,-1.4968739417062844,-11.338993625366527
segunda semana,18,179,-2.7702803585211466,-11.206347053829665
ex-presidente luiz,240,374,-0.9175168876536883,-11.093768103828877
instagram twitter,8,265,-3.9730847758396894,-11.078424182521182
twitter facebook,8,254,-3.9306619689460724,-10.953177885054508
acordo texto,6,339,-4.506810421100251,-10.951929638564737
governo lula,16,171,-2.8422566233593676,-10.874910222192442
sérgio moro,44,172,-1.836840707453173,-10.873692488476717
presidente eleito,30,162,-2.15982900980904,-10.86801042052166
podemos ver,6,283,-4.326115992344672,-10.494755809704268
copa mundo,19,150,-2.5394248903153542,-10.430796853310872
veja aqui,4,442,-5.177020632552719,-10.320267704686836
bom dia,32,148,-2.0048930745526503,-10.285353043130755
ex-presidente lula,91,205,-1.2858041429276046,-10.208134265567763
muita gente,107,214,-1.1668127018584888,-9.855174500468225
desde último,38,142,-1.7916842276134135,-9.810914487594122
ciro gomes,93,197,-1.2242379783287767,-9.731075265623915
publicações redes,8,163,-3.4868609795564165,-9.634619399090596
lula pt,40,140,-1.7262119399095264,-9.62936260830769
informação falsa,9,144,-3.245236354142496,-9.449981412987391
