term,count_a,count_b,log_odds,z
vídeo,970,5488,-2.0882945739229415,-59.956686001567476
redes,1174,5589,-1.915615991008992,-59.66799701002148
sociais,1276,5278,-1.774677710906424,-56.888928898656474
lula,907,4734,-2.0069634430467804,-55.37085953830653
facebook,384,3985,-2.6938438874167874,-50.41576743125918
diz,1095,3794,-1.5962064494613344,-46.53036213704554
aqui,322,2450,-2.382033035951072,-40.18539194979719
pt,630,2408,-1.6933375762115972,-37.8399972348692
mostra,574,2213,-1.701828267139427,-36.332652719825845
whatsapp,143,2279,-3.1213062237200804,-36.20794146660133
mensagem,324,1988,-2.16643347331752,-36.160801948375365
imagem,291,1803,-2.1760165708303845,-34.44489060699279
pra,112,2206,-3.333027231506592,-34.412197723875835
foto,249,1750,-2.3020223883384174,-33.98831485717195
circula,59,3516,-4.441358365760237,-33.83486416801507
twitter,749,2141,-1.4024575375799602,-33.03637998066742
conteúdo,199,1653,-2.4690767399354536,-32.90689779391168
texto,697,1991,-1.401664390581785,-31.84813587744155
afirma,614,1862,-1.4613988965638889,-31.402948544229222
verdade,180,1500,-2.4721578576486243,-31.341109445461402
publicações,84,1928,-3.4857317674289128,-31.275045567337468
tudo,368,1540,-1.7832878212841115,-30.734175207100158
gente,375,1476,-1.7219319755331775,-29.77669616063648
aí,92,1560,-3.1826116875203736,-29.665878208516286
vai,2030,3245,-0.8214520996512311,-29.02868061423483
povo,229,1230,-2.0326598221196344,-28.24331207797957
porque,773,1818,-1.207052868191811,-28.111343351934803
imagens,305,1217,-1.7353912030510967,-27.1013749346219
vamos,251,1100,-1.8290886169310543,-26.148554525943375
agora,1261,2219,-0.9170512931449641,-26.00408953319079
então,543,1417,-1.3107915869779054,-25.97130456261419
notícia,260,1083,-1.7782636112901713,-25.74934348067782
post,129,1006,-2.405356307483422,-25.72115681939036
instagram,301,1103,-1.6501302405501335,-25.375333745483537
publicação,421,1234,-1.4268885162170726,-25.280983478848135
todos,1690,2608,-0.7858408951486267,-25.16515867139019
deus,167,928,-2.0663862104989796,-24.583744598486476
lá,202,929,-1.8771767863905975,-24.18057708561705
legenda,156,851,-2.0478340230884573,-23.513607057509553
através,163,854,-2.007459738866986,-23.48662961024423
veja,369,1070,-1.4159967783230814,-23.455345593271147
inácio,305,990,-1.5287338324199036,-23.343741700147234
falsa,84,851,-2.6668674092199076,-23.319745039582475
ver,320,999,-1.4897743860832628,-23.193244453294422
homem,654,1378,-1.0967745186264972,-23.0978598509718
site,432,1095,-1.2814485414366272,-22.554580350786523
postagens,63,838,-2.9391176824397798,-22.499822934573587
00,69,806,-2.8091907080307674,-22.39744414072167
amigos,232,845,-1.6438405734445647,-22.17849579391801
compartilhado,55,809,-3.0396547296553003,-21.815246525800465
compartilhada,75,731,-2.628074890590777,-21.676345743844593
tá,25,1388,-4.36829091406729,-21.651627271251673
nada,283,830,-1.4271787666014752,-20.733348355069786
água,290,833,-1.4063516243790612,-20.626795739656316
candidato,595,1180,-1.0360496766486964,-20.605536677973532
2018,446,1009,-1.1676691244216162,-20.535503166479973
globo,529,1097,-1.0806504940993644,-20.415477817859404
postagem,94,631,-2.2550798556194493,-20.398210973191524
urnas,198,714,-1.6337482344321606,-20.34129785500946
pl,203,718,-1.6143975245742057,-20.309531933612085
sim,156,666,-1.8025355085370913,-20.265588975884423
silva,708,1282,-0.9450977150725022,-20.184286168473015
tiktok,75,615,-2.4551738493307678,-20.074839498362383
cara,89,608,-2.2725830311406012,-20.024971254364775
pois,206,707,-1.5842766572041436,-20.010033106091953
gravação,86,596,-2.286924718481502,-19.826888329423852
dilma,104,598,-2.100240928520509,-19.76906577689928
fotos,133,616,-1.8839570458006696,-19.70426853106592
2017,148,624,-1.790002237187136,-19.578553499242663
áudio,56,603,-2.727561624815878,-19.526316192959733
circulam,43,654,-3.0729063819218787,-19.521070290106092
olha,31,762,-3.5529791978721903,-19.394644034430147
grupos,444,940,-1.1012634643502484,-19.12417287194022
falso,88,548,-2.179926049797852,-18.983077778902917
compartilhadas,26,762,-3.7288112622658804,-18.700460149910256
verificação,38,593,-3.0985226572884805,-18.518809207243496
dinheiro,576,1050,-0.9516665551465717,-18.35412117474714
usuários,181,600,-1.5494639528435359,-18.271782965834102
afirmam,126,533,-1.7932214165975626,-18.10317726243122
reais,112,512,-1.8707877028483377,-17.934648614665925
fraude,152,551,-1.6388488559708971,-17.888374647360838
assim,588,1039,-0.9204974168869304,-17.83726843416369
petista,163,561,-1.5869715751869524,-17.835541176112983
checagem,33,549,-3.1624275577248104,-17.646741389580114
vezes,465,897,-1.0081721194121132,-17.643011986083472
nunca,300,711,-1.213966990652068,-17.633264595446377
esquerda,222,618,-1.3748415956098654,-17.570813523557714
2022,637,1074,-0.8735874844590743,-17.468521470588648
bom,220,611,-1.3724942890599046,-17.456218831634633
haddad,68,458,-2.2582456519514524,-17.377765074848465
vou,123,497,-1.7473541534933528,-17.35125370629605
urgente,78,459,-2.123238507245352,-17.337631354355437
fazer,1136,1568,-0.6736419331931485,-17.289787474975025
favor,310,707,-1.175525858941831,-17.25711010891903
versão,204,583,-1.401073069458378,-17.223905374671602
aparece,215,594,-1.3672525144018142,-17.178898330855397
sabe,194,569,-1.4270193018539024,-17.16460816932271
coisa,169,539,-1.5107952183936124,-17.137104732627733
sites,46,453,-2.6380749858054076,-17.049363536857943
fala,365,752,-1.0739165663928993,-16.834656394891894
