term,count_a,count_b,log_odds,z
circula redes sociais,24,2216,-4.771682001217608,-23.255596487722553
inácio lula silva,299,945,-1.389616831763969,-20.94317121519412
luiz inácio lula,292,932,-1.3994147330124846,-20.867063278456328
jair bolsonaro pl,81,555,-2.162173295320616,-18.179202740523596
lula silva pt,145,609,-1.6728102207440418,-18.103661839712935
redes sociais vídeo,15,599,-3.92482193635668,-15.018829325825381
circulam redes sociais,11,294,-3.52149777690643,-11.471969157458409
vídeo circula redes,11,145,-2.813911463655111,-9.001459415385586
redes sociais mensagem,3,356,-5.010062311510358,-8.655619415074979
postagens redes sociais,13,120,-2.4576312583092985,-8.419874465728222
desde último dia,8,132,-3.038044339058497,-8.34869787256957
através redes sociais,4,206,-4.175392240890175,-8.28100963844962
facebook instagram twitter,5,163,-3.7184066108022664,-8.197895442578455
ex-presidente luiz inácio,238,370,-0.6773680055591189,-8.152110916818446
compartilhada redes sociais,9,118,-2.8082148045602224,-8.1248634549489
publicações redes sociais,5,152,-3.6484841564305928,-8.035074736111461
compartilhado redes sociais,10,108,-2.614363623112646,-7.912927900837735
jair messias bolsonaro,8,95,-2.7089564082302253,-7.362785711882664
superior eleitoral tse,66,151,-1.0632577662014109,-7.206035613273559
redes sociais mostra,11,87,-2.3028302044334295,-7.199176345670851
fernando haddad pt,13,83,-2.0888248773839857,-7.005272530482662
presidente luiz inácio,5,93,-3.156938043776326,-6.883231794920762
candidato presidência república,10,73,-2.222554244910154,-6.594307848091209
jair bolsonaro psl,2,162,-4.625561439001806,-6.517559277457113
redes sociais desde,5,73,-2.9147234625936376,-6.311090691037766
tribunal superior eleitoral,219,302,-0.5572175075676542,-6.278272913119244
redes sociais foto,2,129,-4.397621667000319,-6.186696088172932
dilma rousseff pt,24,79,-1.4266201183211242,-6.121878166924626
redes sociais mensagens,3,83,-3.5526441701382483,-6.054808984861356
viralizou redes sociais,23,74,-1.403765529771845,-5.881220334688317
facebook twitter instagram,2,104,-4.182088790739456,-5.872660922289794
partido trabalhadores pt,5,54,-2.613197483398375,-5.595367040004909
redes sociais primeira,2,84,-3.9684335908074404,-5.560104051443831
redes sociais aplicativos,3,61,-3.244606495880525,-5.495256374584331
redes sociais acordo,2,74,-3.8416459792232063,-5.373987338057355
república luiz inácio,5,47,-2.4743522252297225,-5.264902540773569
redes sociais dia,4,48,-2.7180551826451733,-5.228909617008403
reeleição jair bolsonaro,2,67,-3.7422512296153956,-5.22773181476993
durante período eleitoral,4,47,-2.6970010068480192,-5.184157571367852
redes sociais diz,4,46,-2.675494227716033,-5.138430390456505
redes sociais grupos,2,63,-3.6806820165311738,-5.136976573678461
redes sociais informação,2,60,-3.6318841915725812,-5.064959220075704
redes sociais texto,2,59,-3.6150746990256053,-5.040133152866704
vídeo mostra momento,5,42,-2.361873574328575,-4.99701368042528
posts redes sociais,2,57,-3.580584071851831,-4.989164482998071
presidente michel temer,7,42,-2.025963572648223,-4.965698288444055
whatsapp redes sociais,3,45,-2.940370222998018,-4.938882481301679
redes sociais afirma,2,55,-3.544861970655619,-4.936334420463747
presidência república luiz,4,41,-2.560425412041333,-4.893577317923099
000 000 00,2,49,-3.429340152218021,-4.7651954369467155
circulando redes sociais,6,38,-2.0798014384904793,-4.737868753914157
candidato jair bolsonaro,4,37,-2.457776826792765,-4.674943279431819
presidência jair bolsonaro,6,37,-2.05313510386725,-4.668518713736401
pra todo mundo,3,37,-2.744632097173586,-4.579187073258115
fórum econômico mundial,9,38,-1.6748787917454724,-4.520155768357803
brasil acima tudo,6,34,-1.9685859625899944,-4.448938412530686
deus acima todos,3,33,-2.6302337048302675,-4.368461317440025
candidato presidência jair,3,33,-2.6302337048302675,-4.368461317440025
presidente dilma rousseff,8,35,-1.7102960681790158,-4.366650245316118
superior tribunal militar,5,32,-2.0899622630627768,-4.349926684538506
uol confere checou,4,31,-2.2808672259536333,-4.297986067942002
acima tudo deus,3,31,-2.5677224963344543,-4.25319272478615
vídeo compartilhado redes,6,31,-1.8762255030281185,-4.209736828898493
tudo deus acima,3,30,-2.5349382248433656,-4.192712577689163
redes sociais post,2,33,-3.0340431693263206,-4.176230643937842
segunda quinzena março,4,28,-2.1791034887013225,-4.08127569551041
redes sociais caso,2,30,-2.9387476893394187,-4.033505591164993
redes sociais imagens,5,28,-1.9564547070830258,-4.0332642890408
compartilhadas redes sociais,8,31,-1.58895127473059,-4.008981834515496
vídeo publicado youtube,3,27,-2.4295991398646937,-3.998294882675542
redes sociais whatsapp,2,29,-2.904852430216465,-3.9826768623351945
tse tribunal superior,88,118,-0.5287748537659294,-3.7544084448481145
candidato deputado federal,4,24,-2.0249915188247396,-3.7536814095579523
outras redes sociais,2,24,-2.7156562537016136,-3.6984117393554605
redes sociais últimos,2,23,-2.6731095498738338,-3.634372543155432
instagram twitter youtube,2,23,-2.6731095498738338,-3.634372543155432
sido compartilhada redes,3,22,-2.2248628792539993,-3.6203692414906925
ex-presidente dilma rousseff,21,43,-0.9517754066029909,-3.575809643095762
primeiro turno eleições,30,53,-0.8043061995007168,-3.520804831395316
rock in rio,2,21,-2.582168765480729,-3.4973815831480795
pt presidência república,2,21,-2.582168765480729,-3.4973815831480795
