term,count_a,count_b,log_odds,z
circula redes sociais,22,2216,-4.94685735244286,-23.093687504733058
inácio lula silva,294,946,-1.4958539462547016,-22.402875286318633
luiz inácio lula,287,933,-1.5060719236957727,-22.312791177986877
jair bolsonaro pl,113,556,-1.919171470064545,-18.599187266404908
lula silva pt,174,610,-1.580276011357042,-18.387596187543554
redes sociais vídeo,18,599,-3.830793981409112,-16.018176268472942
circulam redes sociais,15,294,-3.2997629845593837,-12.46983909420231
através redes sociais,13,206,-3.0866219998203945,-10.797528506741777
vídeo circula redes,11,145,-2.9021046479103854,-9.283581784564994
ex-presidente luiz inácio,240,371,-0.7599686432753687,-9.174352795478
publicações redes sociais,8,152,-3.267409115907798,-9.012986506620024
redes sociais mensagem,3,356,-5.098252370063012,-8.807980710316999
desde último dia,9,132,-3.0085884300342114,-8.737521087056857
postagens redes sociais,10,120,-2.8079701581849896,-8.535189419619508
compartilhada redes sociais,10,118,-2.7911540549721954,-8.478545206154156
facebook instagram twitter,5,163,-3.806597678253472,-8.392328495659322
compartilhado redes sociais,11,108,-2.6073334019491172,-8.241613385412835
jair messias bolsonaro,12,95,-2.3920847146731985,-7.8108850298003745
redes sociais foto,4,129,-3.795147706726021,-7.484349942668691
redes sociais mostra,9,87,-2.5914998817114308,-7.40486802060768
circular redes sociais,5,96,-3.2768901568898974,-7.1504817004363455
fernando haddad pt,20,83,-1.7464786813262894,-7.012796994722201
candidato presidência república,13,73,-2.048602218595021,-6.80750144355376
redes sociais desde,8,73,-2.5336485500106685,-6.807030323486358
redes sociais mensagens,4,83,-3.3539797488515735,-6.559765128414898
redes sociais acordo,5,74,-3.0165236743229764,-6.534348458533167
presidente luiz inácio,3,93,-3.7546325807510126,-6.411131185643302
transposição rio francisco,5,65,-2.886817783934764,-6.226116816438247
viralizou redes sociais,24,74,-1.449417738220391,-6.171312023394415
redes sociais aplicativos,5,61,-2.823293676519887,-6.074879543005018
tribunal superior eleitoral,249,302,-0.5169943096610119,-6.039780249761632
dilma rousseff pt,31,79,-1.2589522884999962,-5.94107951977189
partido trabalhadores pt,6,54,-2.519396133992858,-5.858990417302281
redes sociais texto,4,59,-3.012600852093904,-5.837641071687476
posts redes sociais,3,57,-3.26496515061031,-5.520638665904275
redes sociais dia,5,48,-2.583597654706054,-5.502876116347893
república luiz inácio,4,47,-2.785191914215069,-5.3536775526329
durante período eleitoral,3,49,-3.11372124392442,-5.243486507963736
superior eleitoral tse,108,151,-0.6588945471076144,-5.22858413407623
presidente michel temer,5,42,-2.4500648377178837,-5.183599852708292
redes sociais diz,3,46,-3.050540059154498,-5.127426497657812
vídeo mostra momento,4,42,-2.672713271405657,-5.1136098525837514
whatsapp redes sociais,3,45,-3.028560785674026,-5.08701444836145
presidência república luiz,3,41,-2.935471251571448,-4.915649906925217
circulando redes sociais,7,38,-2.014076343849002,-4.899831292593639
presidência jair bolsonaro,5,37,-2.323319316655091,-4.880443447478683
pra todo mundo,3,37,-2.8328226727958974,-4.726325607522418
candidato jair bolsonaro,3,37,-2.8328226727958974,-4.726325607522418
presidente dilma rousseff,6,35,-2.0857619191268366,-4.7238945824487395
fórum econômico mundial,10,38,-1.6578181716702964,-4.666505600622426
deus acima todos,5,32,-2.1781535426342913,-4.533482917649402
superior tribunal militar,5,32,-2.1781535426342913,-4.533482917649402
brasil acima tudo,7,33,-1.8730116249734312,-4.503847758768225
uol confere checou,3,31,-2.655913081665787,-4.399272200454302
acima tudo deus,5,30,-2.113625455652004,-4.379472670601858
vídeo compartilhado redes,7,31,-1.8105004197138914,-4.329148323323612
faz parte série,4,29,-2.3023786318349178,-4.321497461357293
tudo deus acima,5,29,-2.0797301981471445,-4.298654797658621
vídeo publicado youtube,4,27,-2.230934809215338,-4.168698264451806
segunda quinzena março,6,28,-1.8626533997529986,-4.143417397176791
compartilhadas redes sociais,10,31,-1.454242247535186,-4.0004316179645265
outras redes sociais,3,24,-2.4000373858633193,-3.9251355784049142
sociais últimos dias,3,23,-2.357490683653534,-3.8462534267593043
segunda quinzena setembro,3,23,-2.357490683653534,-3.8462534267593043
primeiro turno eleições,31,53,-0.8597233103033872,-3.802744517460806
primeira semana junho,3,22,-2.3130534791477295,-3.763875854064915
então candidato presidência,5,23,-1.8479873275127279,-3.74836691166798
maior número possível,6,24,-1.7085414363485576,-3.745876787103813
turno eleições presidenciais,10,28,-1.3524785151371592,-3.6728053444159396
redes sociais imagens,10,28,-1.3524785151371592,-3.6728053444159396
redes sociais vídeos,5,22,-1.8035501230069233,-3.643463543224556
adélio bispo oliveira,5,22,-1.8035501230069233,-3.643463543224556
número possível pessoas,3,20,-2.2177783402921953,-3.587337770214726
primeira semana fevereiro,2,20,-2.621587456863198,-3.5430498774961774
redes sociais sobre,11,28,-1.2572553977354008,-3.5345171251355314
