term,count_a,count_b,log_odds,z
redes sociais,1049,5178,-1.9827227001269447,-58.55892628863352
circula redes,25,2307,-4.904821160464281,-24.397123564649455
lula silva,304,1020,-1.5870003050746657,-24.287112639071957
luiz inácio,293,959,-1.5620473139943485,-23.401373070393014
inácio lula,299,948,-1.5302008070235766,-23.07071387044706
vídeo mostra,52,614,-2.8444555763810886,-19.69639154921368
silva pt,151,616,-1.7816240490730948,-19.62047228790436
bolsonaro pl,86,569,-2.2651351548049927,-19.579484952949883
facebook instagram,25,425,-3.208269369292853,-15.592341478234493
sociais vídeo,15,602,-4.067473021537581,-15.565649936634943
facebook twitter,15,451,-3.7782916449189425,-14.400468845689804
urnas eletrônicas,77,294,-1.7146729301882644,-13.394831162131512
vídeo circula,16,310,-3.3385375915051716,-13.026197743393299
candidato presidência,51,249,-1.9603945477419487,-12.755704169752285
uol confere,14,304,-3.4524236495034577,-12.634552624003303
segunda quinzena,13,308,-3.5395606826484096,-12.50559540445161
circulam redes,12,317,-3.6483658521009072,-12.410669716059683
grupos whatsapp,7,495,-4.6328890979743464,-12.180283302823685
fernando haddad,49,229,-1.9166155843539254,-12.177736434470924
vídeo publicado,52,217,-1.8033447738725803,-11.680724525198444
acordo texto,8,339,-4.120576019570371,-11.526652238352149
primeira semana,31,195,-2.213558589596894,-11.44977389667808
povo brasileiro,37,196,-2.0417868111948057,-11.392327258502592
muita gente,57,214,-1.6976164951911032,-11.390203150071933
segunda semana,23,179,-2.426302678267337,-10.955816505999493
rede globo,17,185,-2.761424966910817,-10.898979158809933
vídeo compartilhado,18,182,-2.6879412851662003,-10.881469462909738
mil vezes,10,224,-3.4830376369147302,-10.781580295227812
presidente bolsonaro,100,246,-1.2749288587962466,-10.750618360797297
dilma rousseff,73,215,-1.4548823084697577,-10.740810233691109
instagram twitter,7,265,-4.007474480690551,-10.472743994679336
twitter facebook,7,254,-3.9650516678427277,-10.356103316207964
presidente eleito,31,162,-2.028079166309934,-10.346787797250343
governo lula,13,171,-2.9507906983947194,-10.260187429302052
diz texto,7,229,-3.861378050695075,-10.070572327314274
copa mundo,18,150,-2.494497595760577,-10.002753383028955
bom dia,23,148,-2.236059455865849,-9.978464915432285
ex-presidente luiz,239,373,-0.8200093065635725,-9.897015433440021
ex-presidente lula,82,205,-1.2909692506818917,-9.880541502812878
sérgio moro,55,171,-1.5089181947445756,-9.734728329775288
presidente lula,17,140,-2.4826107895927585,-9.668583152371315
todo mundo,305,432,-0.7230494659684652,-9.667903617902603
desde último,30,142,-1.9290469519787878,-9.601648165863367
lula pt,29,140,-1.948749938500928,-9.553014963517269
veja aqui,3,442,-5.364909217385031,-9.276238538154173
postagens redes,13,129,-2.668848316701081,-9.174860574190438
informação falsa,9,144,-3.146270958180418,-9.161798658231554
bolsonaro psl,7,164,-3.527369107689708,-9.145798511390515
jornal nacional,30,131,-1.8483942517690561,-9.13355648910114
000 00,6,160,-3.656582274733081,-8.800471554866721
compartilhada redes,9,126,-3.012702229554179,-8.736189749270336
compartilhado redes,11,116,-2.729518613723794,-8.655484419838286
candidato reeleição,49,141,-1.4314496643113408,-8.632642016615465
aqui brasil,14,111,-2.4444765565301587,-8.621766329447508
através redes,4,209,-4.328493833945048,-8.585830924885906
ciro gomes,100,197,-1.0526824918774187,-8.573741831778147
bill gates,10,114,-2.8073442952163212,-8.51605242371902
publicações redes,5,163,-3.857156024942089,-8.503793454520691
vai ter,60,151,-1.2974844566570827,-8.502664084269288
podemos ver,3,283,-4.918641267264658,-8.488502609508934
