term,count_a,count_b,log_odds,z
novo coronavírus,3750,470,1.608348484544412,32.86946698497158
ministério saúde,2567,194,2.1129572432975348,28.37799911291096
contra covid-19,2800,620,1.0372760831952679,23.370025148926178
bolsonaro partido,1924,300,1.3873877458930899,22.35115848534595
nesta quarta-feira,1179,85,2.1580418469716927,19.216604038082806
nesta quinta-feira,1092,84,2.093079996691184,18.486609751780286
presidente jair,3296,1077,0.647770364255364,18.45586783091959
nesta segunda-feira,1087,75,2.2018206037257206,18.443845786706895
nesta terça-feira,1082,104,1.8702603115402763,18.218358213373545
24 horas,1022,79,2.0880911620494267,17.882179695362893
estados unidos,2239,631,0.7951511547305623,17.64222554358748
pandemia novo,985,78,2.0638958527119637,17.547389623917535
nesta sexta-feira,955,79,2.0201767313777212,17.25718224633156
tribunal federal,1606,386,0.9539344489981811,16.82848754802955
pandemia coronavírus,904,39,2.671073230860438,16.33427773060437
supremo tribunal,1605,404,0.9076863224709788,16.30716967097773
pandemia covid-19,983,149,1.4144973346009957,16.090211723250288
desde início,762,73,1.8730924572715537,15.289112833973386
cpi covid,757,39,2.493368677980981,15.186695777157974
ministério público,846,121,1.4723986885550788,15.149771150964892
milhões doses,735,38,2.489811681508403,14.968100611840603
ministro saúde,707,65,1.9141638928702092,14.769565033009082
reino unido,782,108,1.5073137830712717,14.683917094182862
mortes covid-19,646,75,1.680727676021136,13.77853040312715
stf supremo,685,95,1.5029967429197377,13.728980402789693
casos covid-19,584,40,2.208313223178539,13.513126299464597
início pandemia,598,30,2.5196505025598164,13.469168567153915
novos casos,672,17,3.2042006895955923,13.051000914395154
agência nacional,624,95,1.409629890534367,12.800149693073005
vigilância sanitária,594,85,1.4715500652267774,12.690117560408495
estado paulo,728,142,1.1619097660701092,12.66589606832553
organização mundial,780,165,1.0808178457468367,12.613546842229827
doses vacina,500,31,2.3077291047073603,12.470090816397523
neste domingo,504,47,1.899611060954559,12.456490775418672
nacional vigilância,544,70,1.5777099138484756,12.42565743128592
casos confirmados,596,15,3.2091505736376282,12.27946657105571
semana passada,581,93,1.3594414974519209,12.172527290645677
mundial saúde,773,175,1.0129283476002282,12.10023943573504
últimas 24,663,11,3.6257160143371028,11.9319408555617
distrito federal,555,90,1.346411237328618,11.84914249255573
vacinação contra,560,93,1.322593813806595,11.812068559558474
vacina contra,967,267,0.814478207638631,11.781419373449106
primeira dose,444,27,2.326969551614715,11.7416652408392
eduardo pazuello,431,33,2.0966133728198706,11.609578089209041
neste sábado,435,25,2.3834134364070776,11.590908906203662
número casos,432,38,1.9578805952359408,11.57241148653957
durante pandemia,501,77,1.3999824382959423,11.437942628948623
veículos imprensa,450,15,2.9279240958344044,11.159003821853549
segunda dose,394,27,2.207416976988034,11.098107549751536
estados municípios,370,33,1.9439123453212819,10.701456032303957
instituto butantan,404,56,1.50309749426202,10.542112288208727
tribunal justiça,372,42,1.7081855632281373,10.494893468491489
presidente câmara,428,69,1.3520883868014426,10.423201217183081
profissionais saúde,384,51,1.545815422953817,10.37294207652827
secretarias estaduais,469,9,3.479706777249427,10.34601400677817
entrevista coletiva,358,16,2.6345652339444507,10.313469494234571
dose vacina,347,37,1.7653101991722906,10.208798842822189
disse hoje,419,10,3.2616435444691723,10.198280664651492
ano passado,746,211,0.7901742645464482,10.134124076626241
saúde pública,325,27,2.014783793505762,10.061330923669095
marcelo queiroga,341,15,2.650387820758932,10.049538833396387
isolamento social,461,91,1.1496398326067823,10.02268604597692
federal stf,652,175,0.8424982600064821,9.896225144517487
público federal,314,28,1.9439776408525242,9.858113363026941
câmara deputados,538,127,0.9708322836057075,9.841039804749792
saúde oms,472,100,1.0789138515547343,9.801182489350877
terapia intensiva,312,17,2.4363738232734313,9.785188343034449
segundo dados,305,23,2.111528458966153,9.767021090389811
combate pandemia,312,33,1.773322699349979,9.688859468819102
duas semanas,300,27,1.9347027671679697,9.63068666505129
mil mortes,297,24,2.0423924918627705,9.6261976809085
arthur lira,303,16,2.4676801786842546,9.622857708574676
doria psdb,370,62,1.3133511274866532,9.57120286696446
união europeia,295,27,1.9178880374679839,9.540310035009224
14 dias,294,17,2.3769229299855503,9.531344119711546
manhã hoje,299,31,1.793249280574301,9.505266000539915
conselho nacional,291,28,1.8678728277050398,9.44167092996846
governo federal,1089,391,0.5517207542129432,9.358266211540728
leitos uti,285,15,2.4709087084760686,9.330437151060151
anunciou nesta,329,9,3.1249418570846004,9.254174556727259
leia íntegra,620,4,4.568622268956348,9.119216598769297
palácio planalto,381,76,1.1390587180566811,9.067385138019205
coronavírus brasil,325,8,3.230350055802372,9.03189850698847
relações exteriores,267,28,1.7817620625179433,8.971071046928438
duas doses,267,29,1.7466804296034155,8.93491766676402
anvisa agência,258,15,2.371338634624844,8.931100190248397
estaduais saúde,417,5,3.9490174874044275,8.78647419871583
primeira vez,436,107,0.9318494948884011,8.637703026965356
anunciou hoje,332,6,3.5389419014548,8.59834867814847
todo país,351,72,1.1110691559131354,8.588489541104774
milhões pessoas,426,104,0.9370738933758709,8.567915109438497
saúde eduardo,240,12,2.521976328831788,8.529227029526348
covid-19 brasil,252,31,1.622164177393656,8.524050490945116
uso emergencial,229,16,2.187559037596899,8.462173084670145
mil pessoas,387,90,0.9856008353453722,8.422465548357453
três meses,238,27,1.7030982674834005,8.388035823814073
número mortes,305,57,1.2041414514676267,8.345335183821934
municipal saúde,223,14,2.2944475845015226,8.33041966335374
afirmou nesta,339,5,3.741809322907926,8.314093886101624
dois meses,224,21,1.8936777774321936,8.299502195615805
