term,count_a,count_b,log_odds,z
novo coronavírus,3174,471,1.538018459427751,31.148045422354407
ministério saúde,2560,194,2.2096171096873904,29.673335566932312
contra covid-19,2587,623,1.052377731720922,23.581115380539256
presidente jair,3158,1074,0.7070747375219009,20.017156204852586
24 horas,957,79,2.121399273778569,18.123313998808825
bolsonaro partido,1357,296,1.1499593362962193,17.926196180753372
estados unidos,2053,631,0.8074339473857739,17.738944878745436
tribunal federal,1411,385,0.9259692027300073,16.104305810486927
ministro saúde,755,65,2.079021349937059,16.084707280839275
pandemia novo,759,78,1.9019824946932715,15.99696098858919
pandemia coronavírus,764,39,2.6016788243242575,15.849953697075973
desde início,720,73,1.9154158889833246,15.594859050439796
supremo tribunal,1407,403,0.8773837346335753,15.529389951428767
nesta quarta-feira,728,85,1.7742760525548107,15.480117642342883
nesta segunda-feira,703,75,1.8644609126321248,15.34964149289983
cpi covid,701,40,2.4901922170058572,15.320194850121545
pandemia covid-19,837,149,1.3525817611627478,15.2122584594574
ministério público,776,121,1.4850146324618656,15.194064273972074
reino unido,734,108,1.5429794689931713,14.972072282726138
nesta quinta-feira,666,84,1.696989592833468,14.657119344991868
milhões doses,634,38,2.440899108817729,14.616914897784769
nesta terça-feira,670,104,1.4893810633502058,14.13213986392628
nesta sexta-feira,612,79,1.6737104914384595,14.000879568527136
mortes covid-19,584,75,1.678792872597774,13.687292359535258
início pandemia,549,30,2.5331370804171316,13.512479091075495
novos casos,678,17,3.3121789201657643,13.492279966492672
casos covid-19,518,40,2.187333956459062,13.33041163040597
agência nacional,598,96,1.455621498594903,13.23960189124035
vigilância sanitária,561,86,1.5017009372487014,12.968339585183083
vacina contra,949,268,0.8910442015500539,12.881347147867757
doses vacina,479,32,2.3320924960306932,12.774442322654151
nacional vigilância,514,71,1.6058022461656511,12.683883509282486
distrito federal,546,90,1.4291046902907176,12.562449748958082
eduardo pazuello,450,33,2.2388236250324125,12.415698816972444
vacinação contra,541,93,1.3871020153676552,12.357322823041827
número casos,442,38,2.07982001559194,12.304417801949668
casos confirmados,542,15,3.213145611129038,12.279735385339306
primeira dose,415,28,2.322055296370827,11.894514673357675
últimas 24,574,11,3.580488984443022,11.768209031323863
presidente câmara,456,69,1.5145440307594082,11.725656751426383
organização mundial,665,166,1.01415771913517,11.68909734459216
veículos imprensa,443,15,3.0112746615023402,11.473746740415727
segunda dose,366,27,2.23268188041507,11.197686123931678
mundial saúde,659,176,0.9465644678461542,11.156203636026191
stf supremo,480,95,1.2460806056234395,11.097226824819522
durante pandemia,436,77,1.359953482878418,11.002178638388939
jair bolsonaro,4308,2241,0.2810950138794226,10.792578900907047
estados municípios,341,32,1.992033567554591,10.775985242428833
dose vacina,344,38,1.828981233020948,10.70041613465137
marcelo queiroga,364,15,2.814720969310926,10.68688874869714
câmara deputados,526,127,1.0473093126442672,10.593212451037726
ano passado,699,211,0.8241064760138599,10.491825806893464
saúde pública,321,27,2.101412230638406,10.488918892699086
profissionais saúde,355,51,1.5662698004350748,10.460219931416063
tribunal justiça,337,42,1.7083415670577349,10.44098277289156
arthur lira,328,16,2.6460192033777004,10.338091079858737
instituto butantan,360,57,1.4690439336465566,10.305976428360555
estado paulo,543,142,0.9674765031035104,10.264839849939358
semana passada,436,93,1.1711397524452005,10.253820823786487
neste domingo,331,47,1.577900930815325,10.123671075229458
secretarias estaduais,369,9,3.3387697247095502,9.901717717252193
união europeia,287,27,1.989395614358192,9.884468187606176
isolamento social,415,91,1.143482132185257,9.87914545063813
neste sábado,284,25,2.055819259468872,9.856331414626375
terapia intensiva,288,17,2.4553075704523524,9.840058603106868
governo federal,1020,392,0.5827321859768242,9.806168911022612
duas semanas,282,27,1.9718120583047183,9.789641101939832
segundo dados,277,24,2.071658735996073,9.737878323778194
14 dias,280,17,2.427123239131121,9.719365389040608
relações exteriores,274,28,1.9066626367938442,9.611601694430702
leitos uti,275,15,2.534186363850167,9.560688416855136
combate pandemia,278,33,1.7569002624439864,9.54346137705049
entrevista coletiva,267,16,2.440151062179254,9.48347664557369
público federal,267,28,1.8807715053267469,9.469577982528675
conselho nacional,265,28,1.8732493440892464,9.428327130910212
mil mortes,255,24,1.9888681631908929,9.31671937134515
leia íntegra,608,4,4.648126007616747,9.277322056495702
ministro economia,257,33,1.6783202521955962,9.07734065711145
número mortes,306,57,1.3064323842463423,9.056595916580061
saúde eduardo,250,12,2.661819560101258,9.01076336571937
coronavírus brasil,286,8,3.2014697980056104,8.936507816105173
contra coronavírus,358,85,1.0638537292786117,8.81764968523342
municipal saúde,226,14,2.4068175803392275,8.74182996061818
saúde marcelo,265,8,3.1251726627118055,8.714132809769561
brasil registrou,312,6,3.57579647478149,8.682945358248084
saúde oms,386,101,0.9667140307252833,8.649800423747545
covid-19 brasil,234,31,1.6470336385634976,8.61849106606067
duas doses,229,29,1.692100815853184,8.586192819889492
sistema único,215,14,2.356903011432907,8.547781327951288
henrique mandetta,229,30,1.658208129933465,8.5414698386466
único saúde,212,14,2.342846499425777,8.493127433601405
casos coronavírus,244,8,3.0425763899128704,8.473133669496477
economia paulo,218,26,1.7520236092535875,8.445699524689058
campanha vacinação,212,23,1.8466653350025624,8.41341416250247
estaduais saúde,315,5,3.767362496125121,8.366231601345161
uso emergencial,203,16,2.166004629369538,8.343953492379065
manhã hoje,220,31,1.5853175103724944,8.264834998100058
anvisa agência,199,16,2.1460972430664293,8.261198998107036
palácio planalto,315,76,1.0477471486096617,8.19888015972776
covid-19 segundo,200,11,2.5255340378954214,8.158511520881289
