term,count_a,count_b,log_odds,z
vídeo,999,5489,-2.1685336662389982,-63.043745572316084
redes,1404,5590,-1.8462944742165925,-61.84846534341183
sociais,1466,5279,-1.7454992361815043,-59.12521744277163
lula,864,4741,-2.166570907555374,-58.570528670215786
facebook,400,3987,-2.7630075005810557,-52.68128302839888
diz,1395,3796,-1.463954784926507,-46.75775454088019
aqui,626,2449,-1.8261405143405405,-40.77520319802099
mostra,464,2212,-2.0236875132049663,-39.63291242204409
pt,720,2409,-1.6696774471938687,-39.31126118204724
whatsapp,163,2289,-3.104258671562837,-38.29365917091093
mensagem,364,1984,-2.1574705997072288,-37.83751237616512
pra,160,2206,-3.0858212219437444,-37.69110385482556
imagem,343,1804,-2.1216224394439527,-36.01827554197149
foto,241,1750,-2.4441631318266444,-35.57379303816818
twitter,809,2141,-1.4348784984860936,-34.76873904306074
conteúdo,226,1654,-2.451919491815743,-34.5746557408205
circula,54,3519,-4.640222593906544,-33.842966958020924
aí,216,1560,-2.4385785546125573,-33.5902660560659
texto,782,1994,-1.3975661097503869,-33.12309305233957
verdade,275,1501,-2.1584484756950797,-32.90665938383346
publicações,91,1928,-3.515163469634712,-32.76984702747354
afirma,758,1865,-1.3617452935532839,-31.613540158063458
vai,2292,3248,-0.8104376015380588,-29.70850852649749
povo,291,1233,-1.9049487308825102,-29.229757641852075
tudo,632,1538,-1.3505194459112557,-28.583178945862272
imagens,362,1217,-1.6735142914447678,-27.953936042179716
notícia,267,1082,-1.8602506019457667,-27.22335585858627
post,155,1004,-2.329221501338992,-26.990703397215444
instagram,318,1103,-1.7046654430571637,-26.782380471591313
publicação,459,1234,-1.4499432958138776,-26.521030018257264
tá,46,1388,-3.8681604444706137,-25.8136424050509
deus,218,926,-1.9071838354252337,-25.335051676616064
inácio,299,991,-1.6591008265506222,-25.145277503045932
através,182,854,-2.006673225341669,-24.579423313213617
legenda,180,851,-2.014201742008421,-24.55189792985003
homem,703,1381,-1.1361835889562863,-24.52317706062264
falsa,82,851,-2.800432875096986,-24.220350760228246
silva,663,1283,-1.1210878230837702,-23.439106148133376
amigos,251,848,-1.678143595621071,-23.354593933984905
lá,335,929,-1.4807302215044995,-23.234752324543607
ver,405,999,-1.3636491859176711,-23.149083495023632
00,63,809,-3.013338926255426,-23.03914954454569
vamos,503,1097,-1.2405647623138236,-23.03829516797422
site,503,1094,-1.2378234013370877,-22.977483705197745
postagens,56,838,-3.1663532692435163,-22.94262660811999
compartilhada,85,732,-2.6137582873189604,-22.81090910585952
compartilhado,58,810,-3.0972563023426654,-22.78814123251298
veja,493,1070,-1.23570499007944,-22.701487518013543
gente,903,1477,-0.9529965098149527,-22.55999528489061
porque,1278,1817,-0.8129436061793056,-22.26765451409084
olha,57,762,-3.053512192930457,-22.238641858075148
candidato,642,1181,-1.0703490766598103,-21.828676564296618
globo,573,1096,-1.1093158802447247,-21.518540833706215
todos,2221,2606,-0.6211024332533919,-21.507353703813
urnas,209,714,-1.68915461631223,-21.478281421982253
agora,1782,2218,-0.6800046722850341,-21.375566517277896
postagem,112,631,-2.189352171804299,-21.35314719959317
água,331,833,-1.3835775486619983,-21.294573664119508
tiktok,88,618,-2.4096748840127047,-21.15016261514876
então,918,1416,-0.894276797952938,-21.104571691642107
cara,113,608,-2.143310732366367,-20.923063901118443
dilma,102,598,-2.229129376620243,-20.809212641245928
gravação,88,596,-2.3734063706766664,-20.78406478282831
2018,522,1009,-1.119772485756605,-20.769522244584476
pl,248,719,-1.525026943265459,-20.70912978845208
circulam,50,654,-3.0315784680049367,-20.663169444595773
áudio,64,602,-2.701854593094107,-20.551527360524346
fotos,162,616,-1.7961786420961534,-20.343184578173936
2017,171,624,-1.7550201162090104,-20.332912882827852
grupos,480,943,-1.1359659513688332,-20.260170878927532
compartilhadas,33,762,-3.5999430114354745,-20.249285152275732
falso,100,548,-2.161568871417038,-19.87883037698816
dinheiro,610,1050,-1.0037998459624191,-19.71767297163042
verificação,45,594,-3.0406351884230594,-19.667921957101274
petista,158,561,-1.7276030612758895,-19.18231716405598
fraude,149,551,-1.7682580051136476,-19.150400300505385
sim,264,666,-1.385877299491428,-19.055888397223345
esquerda,221,618,-1.4888360589063376,-18.996099489856864
nada,423,830,-1.1346632505403589,-18.993498516967556
checagem,38,554,-3.139922692515487,-18.726581411951415
favor,316,707,-1.2658384859200824,-18.70679662355667
afirmam,152,533,-1.7150930656445027,-18.652619170116647
pois,318,704,-1.2552731357218754,-18.57882909253007
né,50,491,-2.74476236210724,-18.49148057339693
2022,695,1076,-0.8977822503619093,-18.448580793951848
usuários,225,600,-1.4413209561183287,-18.437779498117358
reais,142,512,-1.7429316313338328,-18.377376901624185
mídia,136,506,-1.774310826872493,-18.37047534863118
haddad,69,458,-2.3531168569346166,-18.223149602438674
versão,217,583,-1.4487688006311066,-18.219084000916368
urgente,97,459,-2.014719040655585,-18.02970454976631
tse,374,739,-1.1415919998212214,-17.989794283476797
sites,54,453,-2.587226572446638,-17.972682436623096
aparece,238,595,-1.376772208147262,-17.951225848537135
surgiu,93,432,-1.9961791161730655,-17.463179015952804
bom,277,613,-1.2548279245316358,-17.332683032988854
mulher,708,1039,-0.844215024106866,-17.323422520493143
desinformação,109,435,-1.8443599167553542,-17.219519646251882
fala,418,752,-1.0477930413745362,-17.17449637732937
ex-presidente,787,1104,-0.7991276557486184,-17.129501667580595
